FAC_TYPE,VERS_DATE,SERIAL_NO,NAME,LATITUDE,LONGITUDE,SITE_CLASS,WILDERNESS,DIS_ACCESS,ACCESS_DSC,FEE,COMMENTS,MAINT_BY,LABEL,ACT_CODE,FAC_CODE,PUBLISHED,CLOS_STAT,CLOS_DESC,CLOS_START,CLOS_OPEN,CLOS_REAS,CAMPING,CAMPING_C,CAMPING_R,CAMPERVANG,CAMPERVANC,CAMPERVANT,CAMPVANR,TB_VISITOR,TBVA_C,TBVA_R,HERITAGE,HERITAGE_C,HERITAGE_R,FISHING,FISHING_C,FISHING_R,FOSSICKING,FOSSICK_C,FOSSICK_R,HANG_GLIDE,HANG_GLD_C,HANG_GLD_R,HORSE_RIDE,HORSERIDEC,HORSERIDER,PADDLING,PADDLING_C,PADDLING_R,PICNICING,PICNIC_C,PICNICINGR,REDUCE_NA,REDUCE_C,REDUCE_R,ROCKCLIMB,ROCKCLMB_C,ROCKCLIMBR,TREE_VIEW,TREEVIEW_C,TREEVIEW_R,WALKINGDOG,WALKDOG_C,WALKDOG_R,WILDLIFE,WILDLIFE_C,WILDLIFE_R,PCT_AFRAME,PCT_PEDEST,PCT_OTHER,BBQ_ELEC,BBQ_PIT,BBQ_GAS,BBQ_WOOD,IS_PART_OF,PHOTO_ID_1,PHOTO_ID_2,PHOTO_ID_3,SDE_DATE,Y_COORD,X_COORD,ALTER_DATE,ENTITY_ID,UFI,geometry
REC SITES,4/18/2020,1142,Twenty Five Mile Creek,-37.485795,146.094172,VERY BASIC,,NONE,From Marysville - Take the Woods Point road.  After 18km veer left at the Cumberland Junction then turn left down Eildon Warburton road.  From Warburton - Follow the Warburton Woods Point Road and turn right at Cumberland Junction then left down Eildon W,,,MARYSVILLE,Twenty Five Mile Creek,W,,Y,FULL CLOSURE,"Due to risks associated with Coronavirus (COVID-19), this site will be closed to camping until further notice.",3/26/2020,12/1/2020,,Y,"The last of the campsites in the Upper Big River, this consists of a basic site at the top of the ridge line providing a view of the nearby forested mountains.  Access past 25 Mile Camp is four wheel drive only so this camp is ideal for those that would",1,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,121994,121995,121996,4/18/2020,-37.485795,146.094172,,,491140-20170627,POINT (146.0941720000001 -37.485795)
REC SITES,4/18/2020,1143,Catford,-37.499603,146.09046,VERY BASIC,,NONE,From Marysville - Take the Woods Point road.  After 18km veer left at the Cumberland Junction then turn left down Eildon Warburton road.  From Warburton - Follow the Warburton Woods Point Road and turn right at Cumberland Junction then left down Eildon W,,,MARYSVILLE,Catford,W,,Y,FULL CLOSURE,"Due to risks associated with Coronavirus (COVID-19), this site will be closed to camping until further notice.",3/26/2020,12/1/2020,,Y,This basic camping area has two tiered cleared spots for camping with access down to the waters edge via some earth steps.   Try your hand at fishing or just relax and take in the serenity of the bush surroundings.,1,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,121754,121755,121756,4/18/2020,-37.499603,146.09046,,,491141-20170626,POINT (146.09046 -37.49960299999998)
REC SITES,4/18/2020,1146,Big Bend Creek,-37.513924,146.094393,VERY BASIC,,NONE,From Marysville - Take the Woods Point road.  After 18km veer left at the Cumberland Junction then turn left down Eildon Warburton road.  From Warburton - Follow the Warburton Woods Point Road and turn right at Cumberland Junction then left down Eildon W,,,MARYSVILLE,Big Bend Creek,W,,Y,FULL CLOSURE,"Due to risks associated with Coronavirus (COVID-19), this site will be closed to camping until further notice.",3/26/2020,12/1/2020,,Y,Big Bend Creek Camp is located at the junction of Big River and Big Bend Creek.  This is a basic campsite has no facilities but the soothing sounds of the creek flowing into the river. Pitch a tent or roll out your swag and enjoy the serenity.,1,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,121715,121716,121717,4/18/2020,-37.513924,146.094393,,,491142-20170822,POINT (146.0943930000001 -37.51392399999997)
REC SITES,4/18/2020,1147,Vennells,-37.520441,146.079088,BASIC,,NONE,From Marysville - Take the Woods Point road.  After 18km veer left at the Cumberland Junction then turn left down Eildon Warburton road.  From Warburton - Follow the Warburton Woods Point Road and turn right at Cumberland Junction then left down Eildon W,,,MARYSVILLE,Vennells,W,Y,Y,FULL CLOSURE,"Due to risks associated with Coronavirus (COVID-19), this site will be closed to camping until further notice.",3/26/2020,12/1/2020,,Y,"Vennells can be accessed via a small bridge over Big River, here the site opens up to larger camping areas.  Recommended for tents or camper trailers, you'll find pit toilet facilities available and access to the nearby river providing opportunities for",1,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,122000,122001,122002,4/18/2020,-37.520441,146.079088,,,491143-20170627,POINT (146.0790880000001 -37.52044100000001)
REC SITES,4/18/2020,1157,Peppermint Ridge,-37.516587,146.060644,VERY BASIC,,NONE,From Marysville - Take the Woods Point road.  After 18km veer left at the Cumberland Junction then turn left down Eildon Warburton road.  From Warburton - Follow the Warburton Woods Point Road and turn right at Cumberland Junction then left down Eildon W,,,MARYSVILLE,Peppermint Ridge,W,,Y,FULL CLOSURE,"Due to risks associated with Coronavirus (COVID-19), this site will be closed to camping until further notice.",3/26/2020,12/1/2020,,Y,A small basic campsite with access via a bush track to the Big River.  Here you can try your luck with fishing or relax and listen to the tumbling waters of Big River.,1,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,121889,121890,121891,4/18/2020,-37.516587,146.060644,,,491144-20170626,POINT (146.060644 -37.51658699999996)
REC SITES,4/18/2020,1165,Frenchman Creek,-37.522974,146.058313,BASIC,,NONE,From Marysville - Take the Woods Point road.  After 18km veer left at the Cumberland Junction then turn left down Eildon Warburton road.  From Warburton - Follow the Warburton Woods Point Road and turn right at Cumberland Junction then left down Eildon W,,"Set in the heart of Upper Big River State forest this large spacious campsite has areas for all campers.  Whether you are camping in tents, swags, campervans or caravans, this area provides separate areas along the Big River for everyone.  Toilet facilit",MARYSVILLE,Frenchman Creek,WC,UY,Y,FULL CLOSURE,"Due to risks associated with Coronavirus (COVID-19), this site will be closed to camping until further notice.",3/26/2020,12/1/2020,,Y,"This spacious campsite includes pit toilet facilities and separate formal camping sites, able to accommodate larger groups along the Big River and Frenchmans Creek.  The camping areas are suitable for tents, caravans or trailers with room to move.",1,Y,Larger camping sites allow for small caravans or camper trailers.,SMALL CARAVAN,2,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,121787,121788,121789,4/18/2020,-37.522974,146.058313,,,491146-20170626,POINT (146.058313 -37.52297399999998)
REC SITES,4/18/2020,1170,Specimen Creek,-37.517861,146.047824,VERY BASIC,,NONE,From Marysville - Take the Woods Point road.  After 18km veer left at the Cumberland Junction then turn left down Eildon Warburton road.       From Warburton - Follow the Warburton Woods Point Road and turn right at Cumberland Junction then left down Eil,,,MARYSVILLE,Specimen Creek,W,,Y,FULL CLOSURE,"Due to risks associated with Coronavirus (COVID-19), this site will be closed to camping until further notice.",3/26/2020,12/1/2020,,Y,"Located on the side of the mountain, this basic camping area is suitable for tents only.  A small site with access to the river for true bush camping.",1,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,1,,,,121931,121932,121933,4/18/2020,-37.517861,146.047824,,,491147-20170626,POINT (146.047824 -37.51786099999998)
REC SITES,4/18/2020,1174,Bobuck Ridge,-37.512625,146.037758,BASIC,,NONE,From Marysville - Take the Woods Point road.  After 18km veer left at the Cumberland Junction then turn left down Eildon Warburton road.  From Warburton - Follow the Warburton Woods Point Road and turn right at Cumberland Junction then left down Eildon W,,,MARYSVILLE,Bobuck Ridge,W,Y,Y,FULL CLOSURE,"Due to risks associated with Coronavirus (COVID-19), this site will be closed to camping until further notice.",3/26/2020,12/1/2020,,Y,"Bobuck Ridge camping area consists of a couple of separate tent friendly camping spots along the banks of Big River.  Pit toilet facilities are available but please note that the access road is recommended for four wheel drive only.
",1,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,121727,121728,121729,4/18/2020,-37.512625,146.037758,,,491148-20170626,POINT (146.0377580000001 -37.51262499999996)
REC SITES,4/18/2020,1178,Mcclelland,-37.515301,146.022762,VERY BASIC,,NONE,From Marysville - Take the Woods Point road.  After 18km veer left at the Cumberland Junction then turn left down Eildon Warburton road. From Warburton - Follow the Warburton Woods Point Road and turn right at Cumberland Junction then left down Eildon Wa,,,MARYSVILLE,Mcclelland,W,,Y,FULL CLOSURE,"Due to risks associated with Coronavirus (COVID-19), this site will be closed to camping until further notice.",3/26/2020,12/1/2020,,Y,"Located in the gully via an access road recommended for 4 wheel drives, this camp is broken up into three separate areas along the river bank where tents and trailer campers can be set up in spacious sites .   
",1,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,121847,121848,121849,4/18/2020,-37.515301,146.022762,,,491150-20170626,POINT (146.0227620000001 -37.51530099999997)
REC SITES,4/18/2020,1183,Miners Flat,-37.52228,146.010317,VERY BASIC,,NONE,From Marysville - Take the Woods Point road.  After 18km veer left at the Cumberland Junction then turn left down Eildon Warburton road.       From Warburton - Follow the Warburton Woods Point Road and turn right at Cumberland Junction then left down Eil,,,MARYSVILLE,Miners Flat,W,,Y,FULL CLOSURE,"Due to risks associated with Coronavirus (COVID-19), this site will be closed to camping until further notice.",3/26/2020,12/1/2020,,Y,"This private, basic camping area provides a quiet open area which surrounds a large habitat tree.  Follow the bush track to the riverside to relax under the shade of the tree lined Big River.  Four wheel drive access is recommended.",1,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,121856,121857,121858,4/18/2020,-37.52228,146.010317,,,491152-20170626,POINT (146.010317 -37.52227999999997)
REC SITES,4/18/2020,1195,Fishbone Flat,-37.526897,145.996572,VERY BASIC,,NONE,From Marysville - Take the Woods Point road.  After 18km veer left at the Cumberland Junction then turn left down Eildon Warburton road.  From Warburton - Follow the e Warburton Woods Point Road and turn right at Cumberland Junction then left down Eildon,,,MARYSVILLE,Fishbone Flat,W,,Y,FULL CLOSURE,"Due to risks associated with Coronavirus (COVID-19), this site will be closed to camping until further notice.",3/26/2020,12/1/2020,,Y,"A pleasant small, flat camping area tucked away on the bend of the river where the tree ferns line the tumbling waters of Arnold Creek.  Enjoy the tranquil setting away from the bustle of other campers.  
",1,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,121781,121782,121783,4/18/2020,-37.526897,145.996572,,,491154-20170626,POINT (145.996572 -37.52689699999996)
REC SITES,4/18/2020,2616,Wail Site 1 Campsite,-36.511019,142.030389,VERY BASIC,,NONE,Vehicle access to Wail Site 1 Campsite  is from the Western Highway at Wail via Plantation Tk and Ironbark Tk.  Wail Site 1 Campsite is located on Wimmera Track near the intersection of Ironbark and Wimmera Tks. Wail 1 Campsite is approximately 9km west,,Wail Site 1 Campsite is situated on the banks of the Wimmera River and is surrounded by river redgum forest.  The site has basic camping facilities but no boat launching facilities.  Visitors to the site will enjoy the sounds and sites of local wildlife,HORSHAM NATIMUK RD,Wail Site 1 Campsite,WCU,,Y,FULL CLOSURE,"Due to risks associated with Coronavirus (COVID-19), this site will be closed to camping until further notice.",3/26/2020,12/1/2020,,Y,Located on the Wimmera River this site is easily accessible from Dimboola and Wail and has plenty of space for smaller and larger groups. there are numerous sites adjacent to the car parking areas.,1,Y,"Easily accessible from Dimboola or Wail, this site has ample space to set up a camper van or caravan. If the campsite is full, there are 5 other sites nearby to set up camp and enjoy the Wimmera River and surrounds.",SMALL CARAVAN,3,,,0,,,0,Y,This site provides access along the banks of the Wimmera River whereby the avid angler will find ample sites to wet a line.,4,,,0,,,0,,,0,,,0,Y,"Located on the banks of the Wimmera River. This site offers a relaxing spot for an over night stop, or for a day visit. Enjoy local bird life as you relax on the river bank and enjoy a pleasant walk along the river.",2,,,0,,,0,,,0,,,0,,,0,1,,,,,,1,,121406,121407,121408,4/18/2020,-36.511019,142.030389,,,485943-20180424,POINT (142.030389 -36.51101899999998)
REC SITES,4/18/2020,2617,Wail Site 2 Campsite,-36.532919,142.02783,VERY BASIC,,NONE,Vehicle access to Wail Site 2 Campsite is from the Western Highway at Wail via Plantation Tk and Ironbark Tk.  From Wail via these tracks Wail 2 Campsite is approximately 12 km from Wail and 9 km south of Dimboola.,,Wail Site 2 Campsite is situated on Reedy Swamp also known locally as Barbours Swamp and is surrounded by native bush.  This site offers basic bush camping and a chance to sit back and relax with some bird and wildlife watching.,HORSHAM NATIMUK RD,Wail Site 2 Campsite,WCK,,Y,FULL CLOSURE,"Due to risks associated with Coronavirus (COVID-19), this site will be closed to camping until further notice.",3/26/2020,12/1/2020,,Y,"Located on the bank of Reedy Swamp, this site offers plenty of room for large and small groups with ample parking space.",1,Y,Reedy Swamp offers plenty of space to set up a caravan or campervan. Sit back and enjoy the local birdlife or wander along the bank of the swamp for a relaxing way to enjoy this natural setting.,SMALL CARAVAN,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,Y,"A natural setting on the bank of Reedy Swamp provides a very relaxing and natural setting in amongst the native bush. A terrific spot to sit and enjoy the local bird and wildlife for a day, or make use of the camping facilities and stay for the night.",2,,,0,,,0,,,0,,,0,Y,A natural bush setting on the bank of Reedy Swamp provides a terrific spot to partake in a spot of bird and wildlife watching. Easy access along the bank of the swamp provides opportunities to relocate and make the most of your stay. Picnic and camping f,0,,1,,,,,,,121409,121410,121411,4/18/2020,-36.532919,142.02783,,,485944-20180424,POINT (142.02783 -36.53291899999999)
REC SITES,4/18/2020,2621,Wail Site 5 Campsite,-36.544157,142.01304,VERY BASIC,,NONE,Vehicle access to Wail Site 5 Campsite  is from the Western Highway at Wail via Plantation Tk and Ironbark Tk.  From Wail via these tracks Wail Site 5 Campsite is approximately 10 km from Wail.,,Wail Site 5 Campsite is situated on the banks of the Wimmera River and is surrounded by river redgum forest. The site has basic camping facilities but no boat launching facilities. Visitors to the site will enjoy the sounds and sites of local wildlife wh,HORSHAM NATIMUK RD,Wail Site 5 Campsite,WU,,Y,FULL CLOSURE,"Due to risks associated with Coronavirus (COVID-19), this site will be closed to camping until further notice.",3/26/2020,12/1/2020,,Y,"Located next to the Wimmera River, this is a basic camping for self-contained campers.",1,,,,0,,,0,,,0,Y,,3,,,0,,,0,,,0,,,0,Y,,2,,,0,,,0,,,0,,,0,,,0,1,,,,,,,,121418,121419,121420,4/18/2020,-36.544157,142.01304,,,485942-20180424,POINT (142.01304 -36.54415699999998)
REC SITES,4/18/2020,2622,Big Bend,-36.551551,142.012649,VERY BASIC,,NONE,"Big Bend is located in the south west corner of the Wail State Forest approximately 12 km south west of the township of Wail. Follow sign posted tracks off the Western Highway via Plantation Track, Ironbark Track and Wimmera Track.",,"Located on the Wimmera River south of Dimboola and South West of Wail in the Wail State Forest, Big Bend Picnic and Camping Area is surrounded by majestic river red gums and offers a peaceful recreation experience suiting the over night camper and or day",HORSHAM NATIMUK RD,Big Bend,WCU,,Y,FULL CLOSURE,"Due to risks associated with Coronavirus (COVID-19), this site will be closed to camping until further notice.",3/26/2020,12/1/2020,,Y,Located on the Wimmera River this site is easily accessible from Dimboola and Wail and has plenty of space for smaller and larger groups.  There are numerous sites adjacent to the car parking areas.,1,Y,Located on the Wimmera River this site is easily accessible from Dimboola and Wail and has plenty of space to set up your camper van or caravan.,SMALL CARAVAN,3,,,0,,,0,Y,This site provides access along the banks of the Wimmera River whereby the avid angler will find ample sites to wet a line.,4,,,0,,,0,,,0,,,0,Y,Located on the Wimmera River and surrounded by majestic river red gums this site offers a peaceful recreation experience suiting the over night camper and or day visitor. Enjoy local bird life as you relax on the banks of the Wimmera River. Enjoy a pleas,2,,,0,,,0,,,0,,,0,,,0,1,,,,,,,,121385,121386,121387,4/18/2020,-36.551551,142.012649,,,485947-20180424,POINT (142.012649 -36.55155099999996)
